index,stt,id,name,link,files,folders,lastUpdate,isFile,linkFile
2.2.1.1.2.,2020,77105,Vpharchem_ZhejiangApeloa_SadenosylLMethionin_COA.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16799,0,0,10:57:46 13/11/23,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/13/10/RHF3L7MZTU/0f0471fc3ed579d3b6531eb1f36704f4/VKFN6SUAQ8V2QEZE8CJV5ZKLQ8ESQMRCBSQJ2GE2SF5GUXZNL28CFG6M7VB3FGEB6PS9FB7Z99KRKWPQXQB7RK/a4/3d/b5/50/bd/56c33b43d8a19abfea6b7d6bba5c6fa3/vpharchem_zhejiangapeloa_sadenosyllmethionin_coa.pdf
2.2.2.,17,16474,zinc sulphate,https://drive.base.vn/thanhphong1110-drive/folder/16474,0,1,6/11/2023 9:01,FALSE,
2.2.2.1.,559,16475,NSX_ Alcon Biosciences Limited ; NCC Swati Rosabel,https://drive.base.vn/thanhphong1110-drive/folder/16475,2,0,6/11/2023 9:02,FALSE,
2.2.2.1.1.,2021,75912,zinc_sulphate_monohydrate_typical_coa.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16475,0,0,6/11/2023 9:23,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/06/09/YFEECFERSM/b7fd71a22b56e9424ef45827f561fbcb/JFP54ET6Y57Q2EYT45HMFX8SEN7SF57QZAMZXDD3E9STD5PAKWPYCU6K7S9NU98TKK495MDRW6ZZKEH4UT67DM/64/a6/bc/ad/c4/fb2539e3d7cf698ec841facb5127cca5/zinc_sulphate_monohydrate_typical_coa.pdf
2.2.2.1.2.,2022,75911,alcon_gmp_3112024.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16475,0,0,6/11/2023 9:23,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/06/09/YFEECFERSM/b7fd71a22b56e9424ef45827f561fbcb/DZG6M9LLRU6XBARGK2QZ6N64UTHX8FDFTCTRNZ3UNQ6ANFWGGFT53FSDZWEK3QUV2RFQYGU68TB2BK35BU4AV7/3e/c7/c0/1a/ce/fd3fc9955c1b38deb5da854f7bf5e789/alcon_gmp_3112024.pdf
2.3.,7,15593,Meeting note,https://drive.base.vn/thanhphong1110-drive/folder/15593,13,0,16:46:19 28/09/23,FALSE,
2.3.1.,18,76922,Biên bản họp 09.11.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,10/11/2023 14:05,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/10/14/WWL3YHVNNH/9c7c9c77dc0436a93c3116ce2e4512f1/QRE5G6RUBG6YKE5L7KR9GH5BUPT3DQLARTL9AK87P5T7SRGXG4Z9KM5QNXCEVMZQ426RGZNFUFZQ5ZJJ8JGGNP/e6/9d/f5/b9/30/bdfac39785b7cef7f22ade83a73e9ff8/bien_ban_hop_09.11.docx
2.3.2.,19,76682,Biên bản họp TKD 03.11.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,8/11/2023 10:14,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/08/10/JLH6PTAYRK/dbacefa0a5eb3f559f3bfc4ea2326f6a/XCC67QZ3AQ9XDX2QE3P3BRVY59VWR7UTXQS7EH7VSW9VQSFBTDNBPUT58R77SLH7YRUVDQLD48B787MLYRPXK3/13/70/a7/5c/33/9fa69474a3a8855c436b3ef00e4bd7e7/bien_ban_hop_tkd_03.11.docx
2.3.3.,20,75715,Biên bản họp 02.11.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,3/11/2023 10:30,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/03/10/TZDPAVVZBU/f86892a397c27aaf6e88799690f0a661/PFG6EPUFL4PL9F95VNXMN626Q7GKGHDZZ94Z76BHKH35JLR6SBUEA2ZRM629EQ7BVWJDVATFNBKDJNJYTWGCQP/eb/46/dc/8f/b7/25587bbccd68a0ca566471606bac1891/bien_ban_hop_02.11.docx
2.3.4.,21,75026,Biên bản họp TKD 24.10.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,15:47:52 27/10/23,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/27/15/RCVMXS7FRD/b23e6c6c7db78ad0d5d9fec236779633/NJKGRNVRSNXE2R6GY6NHKGZMAT5T86UHZRGPKXXFABSA2MRGWRN36LZMYQ5HNR6DNREJ8KBXBD4WGLD9M5A263/64/2e/ba/5b/34/8825cfb07012821da34c482fc96eebe1/bien_ban_hop_tkd_24.10.docx
2.3.5.,22,73779,Biên bản họp TKD 16.10.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,09:54:03 17/10/23,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/17/09/EEY2VLRHPY/e2fb76be63889e04c1fa419a4a67ad33/QZTUR6KNN9HUR6MFARJP5UQSJ8B8SMKFDEHVTPKE3RHD89LHLSHSER5N8BU9V7EYWGFC63TAWBVT6QPWETSAWR/ef/ba/15/81/8b/3d10ef0a85310c04f43a6de77bb16876/bien_ban_hop_tkd_16.10.docx
2.3.6.,23,73446,Biên bản họp TKD 10.10.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,11/10/2023 11:45,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/11/VFV479FMVP/82c1290a0941d288f95bffa43eee2dcd/PLDCMNFUJT6CLVSDF3PFEXQJ6C9K95G45JCMVJ8LBDX49C8PR3QTTCTJNX62ZLFY3NDD4L7ASK6LYMHJGC76UJ/74/e0/be/77/8c/fec4f0ff6892f5d0a84d5e358642a87b/bien_ban_hop_tkd_10.10.docx
2.3.7.,24,73379,CÔNG NỢ_ MEETING NOTE_10.10.2023.png,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,10/10/2023 13:53,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/10/13/EXUCXN34JC/51117394fa6325e01ffa82ec9ae768a1/VEXCBA9TC23687B4JP8A27FVNW99G2UGMSQTSLNYBU8MM7D64HQXXGA8ZPUJZRR2PC4U5KNX9GF2U82V9KT7B5/7b/03/c1/34/fd/39413cb7baf6e4ed33b711c58f3641a2/cong_no_meeting_note_10.10.2023.png
2.3.8.,25,73212,Biên bản họp USPharma 03.10.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,5/10/2023 18:11,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/05/18/MLZHJPNBHR/d85420d5aa08a02391305f6030c2f4ef/ETV9REDGQEDZNJG9957SCPHP4HYNDCDEPETDA2LVDZ67HSPKJRFWJ6E5EKKQCDJ67S2RDTEQZBKKMTULKS3K9V/ed/ba/35/42/81/1e20bd2b502c6245b10133b6055f0ffe/bien_ban_hop_uspharma_03.10.docx
2.3.9.,26,73200,MEETING NOTE 05-10-2023_PMH PKD PKT.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,5/10/2023 14:08,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/05/14/JKMN9CCW9X/ab17c78ea4de3c4a0bccc08ac6e9fe75/SURYKVAX6W5T4RSKVNGLFJWQQTLSUZANZPN9GT7VR66RX4ACQSTLF2XNS5KZLQ9SMH2KNWZP3SY9BNWDPK737A/12/3a/35/54/76/1f37ebe974f2a883d5da1219dc141f7f/meeting_note_05_10_2023_pmh_pkd_pkt.pdf
2.3.10.,27,72981,Họp 2-10.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,3/10/2023 14:37,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/03/14/JCEUD755V5/11c8ae78b2aedf23e5651a12831c5865/QSP5CFD6KLHUL2Q2MLD45KZ56RQSR5HTW46A2ZHWRDBARMRRB2P6Z2V3HXP4B7Z77JT8DDQ57QHWZVYX7HGAJE/d2/d8/33/cf/41/9d94eda39b6dcd65229694daa247341b/hop_2_10.docx
2.3.11.,28,72814,Biên bản họp Medochemie 28.09.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,10:35:28 29/09/23,TRUE,https://data-gcdn.basecdn.net/202309/sys5573/drive/29/10/LZLUHK7UHK/26f1ca5f8e552ea5315877f7ca64a01a/NCYBL9JHH26KUJLE2QNLLL422SVFZ32JCHHPKYW7LT8Z6AUBXKZDBRL5XZL8XCZC5FPCYUZRACFT2CJGL3AFAH/4a/4b/3f/e1/c1/b450cb2003f7d30545c8def9a29aeb0d/bien_ban_hop_medochemie_28.09.docx
2.3.12.,29,72783,Họp 25.9.docx,https://drive.base.vn/thanhphong1110-drive/folder/15593,0,0,16:47:11 28/09/23,TRUE,https://data-gcdn.basecdn.net/202309/sys5573/drive/28/16/VDRKNWGHD3/e3124b12f1692bbb6bd3e58f8f9d0d3c/HQZMUMQVKYG5KF4Z2FYYEELVA52DNDN4AHWR6XVUGZGQMHDVYF9GZFR2TTGFYXKC4DY8CEJK9K9WE8RDFE2ACU/2d/a7/2e/5a/0e/5b1c7ad62e7903fdcbc2ad82c6218f70/hop_25.9.docx
2.4.,8,15366,HSCB,https://drive.base.vn/thanhphong1110-drive/folder/15366,1,12,8/9/2023 8:39,FALSE,
2.4.1.,30,16341,Strawberry Flavour Powder,https://drive.base.vn/thanhphong1110-drive/folder/16341,4,0,2/11/2023 8:43,FALSE,
2.4.1.1.,560,76681,Salachem_HSCB hương dâu STRAWBERRY FLAVOUR POWDER _site India.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16341,0,0,8/11/2023 9:23,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/08/09/UDEHAPUQB7/4b809bfec8f3b8139fc50004b12367a2/SLFHS2MKCKUT54VE477KKC8QFAHL846YZWBCLM49CWFPJ2AA347J6JTSMPCD3JTNSZYZP3ZDBKE387KQSHNT2B/ed/94/74/16/5d/f128b45ccb14619d8fcc01f5649deb06/salachem_hscb_huong_dau_strawberry_flavour_powde.pdf
2.4.1.2.,561,75602,strawberry_7271_label_lux_flavour stamped.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16341,0,0,2/11/2023 13:51,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/02/13/KMWFTSYUNZ/6270522384f2f4ec44a06cb07332ab59/TXYRP2YWUPWNYAN5PZV246UJZWC3V7EKKMYAHL6QJTL7LHPXMDYMRW8EK2TQ84RPY6HJ3GRVLPFCH2EL4DM8V4/11/d7/06/b1/df/af81206c764bfe676973b2a61b621f2d/strawberry_7271_label_lux_flavour_stamped.pdf
2.4.1.3.,562,75571,Salachem_hương dâu STRAWBERRY FLAVOUR POWDER.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16341,0,0,2/11/2023 13:37,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/02/13/RJJVLL3U5R/28415b13d28375c1d93ea9dc9dfd35d7/WQTEJNMWBLHHYJJ2Q43G3X9PB4UNW2G3QR94N9BT8L3Q784FN72N8TWNVF7VT3PSE8BGGTB6SY3FF6CL45PBW9/c2/77/91/8e/4e/58178572b26206b5d92ee879b6d7d971/salachem_huong_dau_strawberry_flavour_powder.pdf
2.4.1.4.,563,75485,Salachem_hương dâu STRAWBERRY FLAVOUR POWDER _site India.docx,https://drive.base.vn/thanhphong1110-drive/folder/16341,0,0,2/11/2023 8:45,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/02/08/WNHHKUWARV/b69ebb73e3ac4f2d57d99ee0a4bc3b06/WHJCBE8PTGP72GQTPHDX6242VRM5GREDANK3UAVNDU5Z8PJQV2V69D4VMV33URKKA4U3NDS652L32N3CFFZG78/d8/e2/82/fc/f9/1bf9a65aca1db9682ccc2ada33871f2a/salachem_huong_dau_strawberry_flavour_powder_sit.docx
2.4.2.,31,15833,Magnesium Carbonate,https://drive.base.vn/thanhphong1110-drive/folder/15833,4,0,15:10:31 25/10/23,FALSE,
2.4.2.1.,564,75651,Vpharchem_PKN Magnesium Carbonate.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15833,0,0,2/11/2023 15:22,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/02/15/TUKK2XK4C5/063331bea12fb1d06346c67a5ad532de/WHNB6U2NUE4ZECNLTQGB5ZXED88TSF2B39KNA2K4B3FQ9TV24MNMTTVCK3VG7W3ZCU75CTSB97DM8USVXQA2S4/88/8c/92/0f/4b/98e4b4157ad478624d972bee1b116eb6/vpharchem_pkn_magnesium_carbonate.pdf
2.4.2.2.,565,74358,95047 MagniPress Label.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15833,0,0,15:11:19 25/10/23,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/25/15/KXZZ8DKQJT/2897ccc142b883ef89653427a3887347/GELJ5446JYMGNMHLCKTUBMWYR48CMZPNGJW6N4TS278DWS95S83FXZT3PKA7F3LTG5V5ZA5G2TAFNZX5KHSD4M/fc/55/c1/96/af/009cec781af61260c089bc1ae084ea71/95047_magnipress_label.pdf
2.4.2.3.,566,74357,Vpharchem_HSCB Magnesium Carbonate.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15833,0,0,15:10:43 25/10/23,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/25/15/MGCC8DSEEF/de524a9aca58656ad6ab4f472caac854/XFPWDQHGL6TY4P7K8DH9P9QD2JYA9EMZAU3G3UNRBJ538K9UNKHFG4VBDW2GVB9RC63FPLWJM789K5GX3THY3J/96/fa/69/b3/12/679fd0d1c9f483ee7159684e0013a4e9/vpharchem_hscb_magnesium_carbonate.pdf
2.4.2.4.,567,74356,Vpharchem_HSCB Magnesium Carbonate.docx,https://drive.base.vn/thanhphong1110-drive/folder/15833,0,0,15:10:43 25/10/23,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/25/15/MGCC8DSEEF/de524a9aca58656ad6ab4f472caac854/KTUGBLX45TKMR4DNQTTEKM6EMU2PTSMXKWW35D7UXFQUC46S5HZ2SYZJ6C92P5WWT753VB3UM773AMD9F5SJHH/e3/0b/b2/f7/54/570bc02946c9ba4a277a00dd7c030395/vpharchem_hscb_magnesium_carbonate.docx
2.4.3.,32,15689,IRP 641C,https://drive.base.vn/thanhphong1110-drive/folder/15689,4,0,11/10/2023 15:19,FALSE,
2.4.3.1.,568,73457,Salachem_PKN IRP 641C.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15689,0,0,11/10/2023 15:24,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/THCB4AWG37/ff4a014cf6ece6cfab73103edee34dd5/GFEH4R2BD5YDCPECE8DD7KQRZZY2XRYT9NVGSHU7FVPEUSD2CSGUA7TSQ22KPGYVW7Z4VGNBDSJQ725AV6XPMJ/12/da/a9/28/e7/4d1edc239441e1b36a0461a685040b30/salachem_pkn_irp_641c.pdf
2.4.3.2.,569,73455,Salachem_Nhan IRP 641C.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15689,0,0,11/10/2023 15:22,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/EKKTR7WE58/b2014e2fa8e0f984535fd2ca836acc68/LETN7P2J2LHWP4W3B4495DQX5DQKF7ADFR7GJTJ65FJZTE39SETJW4EM27AA5JRE9VQEHH5Z6KNF2GRDD7A9M2/b4/7d/f2/2b/86/8da2cb17551afa9f6f664e1bb072f7ba/salachem_nhan_irp_641c.pdf
2.4.3.3.,570,73454,Salachem_HSCB IRP 641C.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15689,0,0,11/10/2023 15:22,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/DSWLL2JPU9/214c66e0217866a0d5e45ab83e264fd2/QPD99SY887LBT5ZKAJFVWTLEHRB68HVP6V2M7C8UYW3NSERK3ZEXCZTR8VWCURTRE22H7EVR83LNP7R5VKTEHY/7d/82/1b/de/44/a969d718ff64e62cc9686c8121a8abce/salachem_hscb_irp_641c.pdf
2.4.3.4.,571,73453,Salachem_HSCB IRP 641C.docx,https://drive.base.vn/thanhphong1110-drive/folder/15689,0,0,11/10/2023 15:21,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/DEM6YJFDNF/764a71df3b94e9951fb14ac589ec73e9/RZHNJCNDP97T9W59MQFEFSBZZ2YML6BVCGL4QKK9JDRATTSQ8LWAYGBMK2ACNCD9PRKY5JA85S2FVX2G3EZCWE/c8/58/cf/ba/ac/ffb91f7501f173e9faee2ce1e90c4e1e/salachem_hscb_irp_641c.docx
2.4.4.,33,15688,RTU AZ,https://drive.base.vn/thanhphong1110-drive/folder/15688,4,0,11/10/2023 15:19,FALSE,
2.4.4.1.,572,73458,Salachem_PKN RTU AZ.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15688,0,0,11/10/2023 15:24,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/XZTSTBMKFV/6f6dc4b1d69977b3ab33bc78c81d554c/UUEW4A8FGBU45YPJ8WW3STLAKNDDJRZAQUZBHELQLWFPEY4LWDM4ZTLUV58X66LD7FAL63JD4U2ZMQXMF3A8SS/bb/ad/61/a9/0b/1effff8ffecf653baccfaf8a150ea35f/salachem_pkn_rtu_az.pdf
2.4.4.2.,573,73456,Salachem_Nhan RTU AZ.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15688,0,0,11/10/2023 15:22,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/NZMM5MK27G/281e65f9aa406977bb7a9b81d55e6f32/QDGZNQ773T8LPDFT5ASJYP722V3YBPTAAZ962GN25KZX8GFRJUEC32N55X3B4ZLR4ZKPPMEG4V3CRF7XBGCPRG/bb/05/6b/0d/3a/6ba17fb1f32bec5746e694c44cf8cf39/salachem_nhan_rtu_az.pdf
2.4.4.3.,574,73452,Salachem_HSCB RTU AZ.docx,https://drive.base.vn/thanhphong1110-drive/folder/15688,0,0,11/10/2023 15:21,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/PXCDDM35J2/e5b398a8cbe8e4d9d89c4ff453e3f507/CTD22MZFH9MJ9HPQRJ7PKXG4BDPVR2MX4C2JGLTR83BSEWAZ3PKEMYLJ68UNT6FUD6THYLXF3AU4377U7KA6JQ/d5/87/78/b6/b4/f14fb450dfe9874416527ef9dbf49ceb/salachem_hscb_rtu_az.docx
2.4.4.4.,575,73451,Salachem_HSCB RTU AZ.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15688,0,0,11/10/2023 15:20,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/11/15/PWTNQ4LHQP/90ac7be47fc8a6f2005517c3a6660a39/YPEYKKNENFAN6ULT7NBQVH3C6YT6L7D5Z6PL8YBWPAZUFXXS8SSUK5KPRQHTX2G3GWRNRBA3LXDBRS4RHPHEXH/9f/30/a0/69/bb/c6d4c5d649867e2e30ee12b451ccd2c0/salachem_hscb_rtu_az.pdf
2.4.5.,34,15462,Sodium Carboxymethyl Cellulose_Finland,https://drive.base.vn/thanhphong1110-drive/folder/15462,4,0,12/9/2023 13:00,FALSE,
2.4.5.1.,576,73226,PRODUC 2.PDF,https://drive.base.vn/thanhphong1110-drive/folder/15462,0,0,6/10/2023 9:20,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/06/09/UJPTJ28AC4/69399e4ae7ed308e2e902dab46a40266/ZCKRDWBKWLVQ9N2BWRUQNMH5XXGHUH78G9H2XB99MJP7EGA643HNJNBVQAJH2M687SL9VKHEXSPSNCW79JCPX5/70/d6/5c/f3/e5/943b335cffcf84d7d7679b400c3bd11d/produc2.pdf
2.4.5.2.,577,73225,Cekol 4000 MSDS.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15462,0,0,6/10/2023 9:19,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/06/09/EKRULEHAMZ/55c53b41c7baa403475ad62104cc7994/GEMQZE2HBH2PUVCGEG8MZTPMTRLQ42SHJ99M4NEKD3VN6G45K8GPC6V2QT98TFQDH6E5DFL5B6VNTM4L59PLRU/34/c4/72/73/2a/b0de4738f6092b760db6c74dec46fb93/cekol_4000_msds.pdf
2.4.5.3.,578,73216,PHIẾU KIỂM NGHIỆM TP.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15462,0,0,6/10/2023 8:57,TRUE,https://data-gcdn.basecdn.net/202310/sys5573/drive/06/08/HYKEVT5KKT/030e2d2a7438172c68562050a6f2ce63/ZHFXZ5DXH6CTV7GXTC2L3ZGWRX4XAY892RHGWAJAFRBKB47A35TKPUXSKCMEF6MC82HSU25GANWJJXZZNQFJ8G/d3/5f/7a/ab/d5/6f1559ede4b13d6e980d4bce920a502e/phieu_kiem_nghiem_tp.pdf
2.4.5.4.,579,71268,HSCB.pdf,https://drive.base.vn/thanhphong1110-drive/folder/15462,0,0,12/9/2023 13:02,TRUE,https://data-gcdn.basecdn.net/202309/sys5573/drive/12/13/ZGC8FU5ST2/c50dbfb0ee3a30ab93a01cc4da3d987b/DVGBVC3PFHRUKQFYGHJ8K2L57FP3KTX2ZT544GLX3HSC98QWREZDEXLTUEL9THKSADQMEGHG47ZM4E3SB5BTW7/09/36/11/43/a0/8be9d97ea65715e08d54aaada7164527/hscb.pdf
2.4.6.,35,15393,OPADRY,https://drive.base.vn/thanhphong1110-drive/folder/15393,0,72,11/9/2023 8:47,FALSE,
2.4.6.1.,580,16340,Opadry 02H120001 Yellow,https://drive.base.vn/thanhphong1110-drive/folder/16340,5,0,2/11/2023 8:41,FALSE,
2.4.6.1.1.,2023,77177,Vpharchem_Opadry Complete 02H120001 yellow_site India-1-đã gộp.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16340,0,0,16:59:10 13/11/23,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/13/16/SYCBCSEVQR/5c641b638b86029254f5a997fdb81bd4/YQNH5HUAVPZL4D647FK3CL5FRH8U7MV4JD2NHXXCAW7QXJCNG4EEPN2JWVF9ZL3BM6UC7STJ899CUS2Y6DAQSW/46/ea/58/48/3d/6b042faa477bd29a05e19920b38d8f57/vpharchem_opadry_complete_02h120001_yellow_site_.pdf
2.4.6.1.2.,2024,75599,Nhan 02H120001 Yellow.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16340,0,0,2/11/2023 13:49,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/02/13/UJSC66R4F4/e10326b8e2f1fc7ba6a271db7bae6f7d/UXY3SH3826Z588JVXPTWVJ8FQTEY7QM8WYD724LTCNH4EGKXN9RNPDNB6SWYTPSE6UHEFDZEBNH2ZY33ZZ8JZJ/be/bf/34/8e/40/9dc0dd4b6715b8cac17c414fe7547a68/nhan_02h120001_yellow.pdf
2.4.6.1.3.,2025,75572,Vpharchem_Opadry Complete 02H120001 yellow.pdf,https://drive.base.vn/thanhphong1110-drive/folder/16340,0,0,2/11/2023 13:44,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/02/13/ZMCA9TRUWB/fdc0344b3b728b29a026c6e68e50d3a9/HSJA6WHZCPHGF5XSPFRJYVJH6TY4CUEHNAQU2W2E6GRBP953UXXWRUMUM99SWJT7SR6QMGLJH4LR3TP9FM6W4F/5b/99/b1/b7/fb/d4e06d31a0a862f43c7e69b58ae2c584/vpharchem_opadry_complete_02h120001_yellow.pdf
2.4.6.1.4.,2026,75484,Vpharchem_Opadry Complete 02H120001 yellow_site India.docx,https://drive.base.vn/thanhphong1110-drive/folder/16340,0,0,2/11/2023 8:41,TRUE,https://data-gcdn.basecdn.net/202311/sys5573/drive/02/08/QTCYP5VUSV/02f0111963465c9903317c21cf1e5a49/XUEUWRB6ZVH3FGM5PSFHAQSV9KS8ZKHU883N8A2Z7GNM32EYCPZVNEN987Q9C8NSN9CLH86HENVB7C6X237SZU/f9/e6/44/2d/fe/02caba77857786af8a13a058ae1afe0a/vpharchem_opadry_complete_02h120001_yellow_site_.docx
2.4.6.2.,581,16339,Opadry 02H140004 Pink,https://drive.base.vn/thanhphong1110-drive/folder/16339,5,0,2/11/2023 8:41,FALSE,
